experiment_id,noise_regime,track,seed,dataset,model,epochs,batch_size,lr,frobenius_error,condition_number,spectral_norm_inv,training_duration_sec,git_commit_sha,test_top1_acc,test_top5_acc,raw_test_ece,raw_ada_ece,raw_brier,temp_clean,ts_clean_test_ece,ts_clean_test_brier,temp_corrupted,ts_corrupted_test_ece,ts_corrupted_test_brier,val_calibration_delta,peak_val_acc,peak_epoch,final_val_acc,memorization_drop
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_CONFIDENTLEARNINGT-S2024,clean,ForwardCorrection_ConfidentLearningT,2024,cifar10,PreActResNet18,30,128,0.05,0.9860408970522736,2.12904433976008,2.11095238164555,976.9410238265991,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.36,99.79,0.04839516478776934,0.04724547216296197,0.13953384073223934,1.5816444158554077,0.015745334404706986,0.13097385257682714,1.578989863395691,0.01593615516424178,0.13099285406167713,0.00019082075953479397,91.64,26,91.36,0.28000000000000114
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_CONFIDENTLEARNINGT-S42,clean,ForwardCorrection_ConfidentLearningT,42,cifar10,PreActResNet18,30,128,0.05,1.0263637147374882,2.3111208671281043,2.2728948320041376,977.3839538097382,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.2,99.73,0.04892751544713973,0.048823489260673515,0.14199255016381207,1.5698901414871216,0.019560128928720968,0.13285071379514857,1.5702886581420898,0.01953803404718641,0.1328474818846913,-2.2094881534557437e-05,91.22,29,91.06,0.1599999999999966
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_TRUET-S1337,clean,ForwardCorrection_TrueT,1337,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,972.0131437778473,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.74,99.77,0.04010313868522643,0.039937822186946866,0.12833346011684144,1.5304818153381348,0.010620709276199332,0.12229144549255234,1.5365301370620728,0.009918638807535136,0.12227155720979863,-0.0007020704686641951,91.88,28,91.84,0.03999999999999204
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_TRUET-S2024,clean,ForwardCorrection_TrueT,2024,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,970.0313575267792,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.51,99.69,0.04439170334637164,0.04430472891330719,0.13367478854658651,1.5280581712722778,0.012483794498443598,0.12659255723349533,1.5304042100906372,0.012264864552021032,0.12657920959105096,-0.0002189299464225667,92.68,28,92.56,0.12000000000000455
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_TRUET-S42,clean,ForwardCorrection_TrueT,42,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,978.198281288147,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.68,99.72,0.041515401306748384,0.041413499277830126,0.13124213381595756,1.5206667184829712,0.011460835340619096,0.12445956281589367,1.5192580223083496,0.011499583572149261,0.12446671345557743,3.874823153016474e-05,91.92,29,91.92,0.0
PILOT-CIFAR10-PreActResNet18-CLEAN-GCE-S1337,clean,GCE,1337,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,978.0041201114655,181e7ac1a42f35e742a7f2e879161bf6d949be7e,90.29,99.63,0.06312903018891808,0.06267766205668447,0.15794348500464778,1.6406856775283813,0.02931844672262672,0.14481438419859113,1.6328330039978027,0.029889365440607104,0.14491484463942592,0.0005709187179803836,90.72,28,90.62,0.09999999999999432
PILOT-CIFAR10-PreActResNet18-CLEAN-GCE-S2024,clean,GCE,2024,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,978.4756660461426,181e7ac1a42f35e742a7f2e879161bf6d949be7e,89.79,99.56,0.06711753847599032,0.06711757561564446,0.1673907639223552,1.641176462173462,0.0333270923703909,0.1540617387667024,1.6350857019424438,0.03379567801952361,0.15414458113341126,0.00046858564913270645,90.92,29,90.78,0.14000000000000057
PILOT-CIFAR10-PreActResNet18-CLEAN-GCE-S42,clean,GCE,42,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,977.2921588420868,181e7ac1a42f35e742a7f2e879161bf6d949be7e,90.01,99.65,0.06613588886559005,0.06547714949250222,0.16449248366535782,1.6283317804336548,0.033933571428060555,0.15123093521633596,1.6340214014053345,0.033489932757616046,0.1511530880261731,-0.0004436386704445086,90.42,28,90.42,0.0
PILOT-CIFAR10-PreActResNet18-CLEAN-SCE-S1337,clean,SCE,1337,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,974.1344602108002,181e7ac1a42f35e742a7f2e879161bf6d949be7e,79.79,98.7,0.16389496843516824,0.1638948773920536,0.3554360455389368,1.8401018381118774,0.1247756040543318,0.32328484488455944,1.840411901473999,0.12475956122279167,0.3232745622163458,-1.6042831540136193e-05,80.26,30,80.26,0.0
PILOT-CIFAR10-PreActResNet18-CLEAN-SCE-S2024,clean,SCE,2024,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,979.1814262866974,181e7ac1a42f35e742a7f2e879161bf6d949be7e,82.16,98.95,0.1459760116934776,0.14595708367228505,0.3176802135986293,1.8425039052963257,0.11180177605748179,0.28976853030042393,1.843367338180542,0.11170817024707796,0.28974349704917957,-9.360581040382399e-05,82.58,29,82.10000000000001,0.47999999999998977
